"id","exercise_name","exercise_id","raw_cue","spoken_cue","is_active","created_at","updated_at"
"fff96df0-9ef3-425f-b278-37f94b2a1d58","Global",NULL,"Searching for body...","",True,"2026-05-19 14:31:50.497838+05:30","2026-05-19 14:31:50.497838+05:30"
"52152af0-5046-4c5a-b649-68d554928035","Global",NULL,"Hold still to calibrate","",True,"2026-05-19 14:31:50.502178+05:30","2026-05-19 14:31:50.502178+05:30"
"8f564152-57b4-4b3e-be4f-0a0d6f7dc237","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Widen your stance","Widen your stance.",True,"2026-05-19 14:31:50.503528+05:30","2026-05-19 14:31:50.503528+05:30"
"b0b19fe6-333d-43fe-979b-b91edd611283","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Ready! Go down","Ready! Now, squat down.",True,"2026-05-19 14:31:50.509413+05:30","2026-05-19 14:31:50.509413+05:30"
"05a75c01-7d2c-4622-87c2-aca72d25d194","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Ready! Squat down","Ready! Now, squat down.",True,"2026-05-19 14:31:50.512548+05:30","2026-05-19 14:31:50.512548+05:30"
"c6852c7d-9697-4195-ac60-a72d57a14074","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Feet too wide","Bring your feet slightly closer.",True,"2026-05-19 14:31:50.513738+05:30","2026-05-19 14:31:50.513738+05:30"
"5046c303-fb7a-43b5-b3e1-d588e21fd8bb","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Keep chest up!","Keep your chest up.",True,"2026-05-19 14:31:50.514775+05:30","2026-05-19 14:31:50.514775+05:30"
"ce825dab-c832-4537-b666-faf628e2f46f","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Knees beyond toes!","Bring knees back behind your toes.",True,"2026-05-19 14:31:50.515769+05:30","2026-05-19 14:31:50.515769+05:30"
"3a10f299-ed21-416a-966e-b8d5330632df","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Push knees out","",True,"2026-05-19 14:31:50.51692+05:30","2026-05-19 14:31:50.51692+05:30"
"d42c129c-0b78-4bb0-b081-a68511fd83f8","Squats","939b9a3f-1359-4c07-b735-2a3676f38942","Push through heels","",True,"2026-05-19 14:31:50.517764+05:30","2026-05-19 14:31:50.517764+05:30"
